n_a;train_1_paso;train_6_paso;train_trajec;test_1_paso;test_6_paso;test_trajec
1;6.937752171563024;34.50239209208396;23.330103214910533;6.969128895458096;32.80796246893404;22.47431138676841
2;3.908247243779225;26.466260136988193;16.840116703727293;4.359816482833127;27.390024969606742;17.9566462931011
3;3.9088624369310674;26.343848647270175;16.760028651416626;4.364555850628219;27.460487356853868;17.995244882639557
4;3.882189996849274;26.16939715074743;16.67962395285615;4.368560532691274;27.47253644963041;17.978007839057756
5;3.8705382936523973;26.09309197309087;16.606491417334205;4.343333119437682;27.601341204135768;18.006638892619275
6;3.8707129011816708;26.010906536041194;16.554542055022715;4.336586015383796;27.381360844630734;17.895179346677516
7;3.744361345834293;25.940213311887366;16.5249042062496;4.319948550855252;27.1173350141185;17.77485565340251
8;3.674195820238036;25.879566888111295;16.496176037490116;4.327589131897981;27.25810676861708;17.86668346278175
9;3.6657891059646106;25.86082871486846;16.493496484530098;4.318180839825324;27.209107213995807;17.83129003588718
10;3.666810759925921;25.868220593927255;16.496677666392657;4.3199066713942855;27.218972794554677;17.83514683818348
11;3.6641593808123005;25.895016131851992;16.511451517219438;4.29187079652741;27.13746292488254;17.813154021589774
12;3.653022948166473;25.898028256279705;16.496770484468012;4.246012780355575;27.270994785175787;17.851167874641845
13;3.6528707735583787;25.868320982120878;16.47979211160438;4.238824452871596;27.142468788603693;17.79003648167858
14;3.654316122516369;25.86510591160211;16.474897580700333;4.242203090991263;27.153292302759393;17.795286807246846
15;3.653975039191821;25.828629733303615;16.460951547594764;4.244048286173209;27.087690931622458;17.74656355547108
16;3.649732546505634;25.807646747597804;16.453929136134274;4.254006724209985;26.99486952397712;17.705542348755504
17;3.6504227407489873;25.816167753777002;16.456902910666724;4.2464342233146475;26.97083526892557;17.698405605679554
18;3.6517696305542335;25.84274043312636;16.471308869997973;4.235183291918031;27.02411210281701;17.711957006741144
19;3.645291499812289;25.711370192325255;16.4029953020418;4.235575013930506;26.935762330692796;17.68008110633087
20;3.6467288446217534;25.717129228456184;16.40737023945143;4.238979849920883;26.970833439819746;17.690920326910597
21;3.643868739188293;25.652768717750178;16.371887307312125;4.238982553239613;26.997660123239353;17.682514448882582
22;3.6430069969493806;25.607261146695226;16.343909429325457;4.232418003618832;27.010398081180135;17.636465661590986
23;3.6415538174926168;25.59057812752279;16.33195580844082;4.236722839294821;26.86692741765739;17.542430847319665
24;3.6355862064854967;25.624279248824916;16.34607945265371;4.195134175038468;26.641171413136323;17.47668828178349
25;3.633296493599293;25.59850857044143;16.329736433704824;4.19296775730191;26.540210616081634;17.437602009453464
26;3.634754531724492;25.602924403112045;16.33262442028715;4.192821133526349;26.469128868391604;17.404904213596325
27;3.634577082116874;25.601826689522937;16.333149293310704;4.200099307180703;26.43096393771325;17.380387836056638
28;3.634770796779559;25.611106373587372;16.336586316476915;4.201550429443991;26.33048180945598;17.32151653047516
29;3.635073322659512;25.64873523944232;16.35062690398928;4.206658919466385;26.232063902632333;17.28495370903455
30;3.6362008398467687;25.647341824687004;16.349722508673263;4.20905862781736;26.175370445275764;17.26644008629051
31;3.635643797678104;25.598857357545324;16.317739606733248;4.200553009137123;26.147163311027036;17.261419709329374
32;3.6206094338281076;25.44273826370546;16.206834010105553;4.212920692295201;26.368011645863866;17.382427003935863
33;3.61300472999887;25.342291605747143;16.131841451331802;4.221201880382599;26.62851562334378;17.536720534464646
34;3.6124455527334787;25.291192958079108;16.1087225151494;4.213683701836934;26.560522707482182;17.513349345588406
35;3.6094559964801762;25.279319169895114;16.10777336548744;4.2275202484068615;26.607704425879657;17.54083729646869
36;3.6019136076044878;25.23541160573815;16.090425999875595;4.240196216732893;26.6134653580077;17.558455034159977
37;3.595146251825398;25.205715260190733;16.074365112463013;4.246053819573799;26.89690338986368;17.746775983235846
38;3.595687765238976;25.226187223329546;16.082541952667082;4.245982794429912;26.799362805775147;17.68387391767732
39;3.5922049531155853;25.236563327986616;16.083929527473202;4.2514530379563595;26.84133216604313;17.706323633815714
40;3.5891023012839245;25.216932495255687;16.07626972853764;4.248073085899565;26.915241642919298;17.72308019975114
41;3.590576857700619;25.22512737418174;16.080571028933342;4.248662618365992;26.881006208043424;17.68596417508314
42;3.588841186132937;25.24827315130511;16.095913153909148;4.23648554676569;26.838199786484385;17.650295633962475
43;3.5884005989607664;25.231552274961135;16.084418928243572;4.24137807111118;26.8093663947451;17.64233887224288
44;3.5890474952359903;25.234131222586313;16.082917860909816;4.233155364169378;26.81810854067155;17.645924325864147
45;3.5834286603284213;25.276658635962537;16.10740046473758;4.240760863506631;26.982010022370478;17.717888473204457
46;3.5788342841725784;25.235980680514402;16.07746991323683;4.251895337002158;26.840599806252634;17.650557462576824
47;3.577264873930735;25.273268399902893;16.092800964156535;4.236063202398719;26.78777224756511;17.61987070333625
48;3.5758858195136236;25.26474773178859;16.090504927151937;4.245279806401912;26.774884230459456;17.61315214893218
49;3.57543380683971;25.222366872537695;16.066387100388077;4.254257506205587;26.944027539662475;17.7011987384405
50;3.5758671252697343;25.202708235282692;16.048366763868938;4.256100395520545;27.04679203185929;17.76870056324649
51;3.5765146730049207;25.198594653839947;16.032859510424878;4.245427079847276;27.19380770848251;17.85245142650033
52;3.5733103487296587;25.240436680990697;16.044424599484167;4.266328885698866;27.44871205148724;18.004109341966625
53;3.5715214363476346;25.170987992186035;16.00881500386655;4.272484749175478;27.39796340129056;17.98425529620644
54;3.5665979551461775;25.182337313610986;16.01661268289728;4.273615261120708;27.43964426231773;18.00163406889149
55;3.5523903008680775;25.108299010171038;15.966489435820119;4.299594958182088;27.78928526105186;18.215038656730517
56;3.550645276184302;25.082820910189785;15.959912250811097;4.306429357224518;27.937849470137493;18.301912421052165
57;3.5410550112016153;25.08990887694442;15.962809212677593;4.290635650238105;27.669456655552914;18.16625623054715
58;3.5403399165984326;25.091930379663243;15.962189699306181;4.2997697515217395;27.720405518755353;18.193383088507925
59;3.5410806190034507;25.0580890818989;15.945435737268921;4.299241289839318;27.762072671568102;18.218494111323302
60;3.5371804670311167;24.980531679375456;15.90334148237735;4.299668949674005;27.844990398668596;18.263055529809776
